pool_id,project,project_name,chain,symbol,tvl_usd,current_apy,apy_base,apy_reward,stablecoin
4268643f-ff4d-4bfd-8ec3-ae0b0ae5ac87,pendle,Pendle,Ethereum,NBASIS,724108,5.45422,4.71094,0.74328,False
8d989d6c-99ba-447e-8f3d-3aca98e993fd,curve-dex,Curve,Ethereum,FRAX-3CRV,722271,0.03224,0.03,0.00224,False
7ddb4796-a620-47a0-acdc-3f0058d284ac,curve-dex,Curve,Ethereum,GEAR-ETH,715020,12.89708,0.37,12.52708,False
7aab7b0f-01c1-4467-bc0d-77826d870f19,aave-v3,Aave V3,Arbitrum,USDC,710949,2.12532,2.12532,,True
4a2ded3a-3667-40a8-a9b2-503b6d357b49,aave-v3,Aave V3,Ethereum,RPL,705370,1.11842,1.11842,,False
a73ce962-6cc8-40f6-95bf-b7dc1da1018e,curve-dex,Curve,Ethereum,USDAF-FRXUSD,705135,11.02024,1.79,9.23024,True
d696e218-b108-432a-a81f-87fb912fbadb,curve-dex,Curve,Ethereum,GHO-USDE,686345,0.04,0.04,0,True
3f9b5393-c38e-4dbf-bff1-1637c15a2b80,curve-dex,Curve,Ethereum,USDE-CRVUSD,673263,0.1,0.1,0,True
ac164d4e-855d-4eed-bebf-0c04c0fac54b,euler-v2,Euler V2,Ethereum,CBBTC,667503,0.01613,0.01613,,False
982fdfd1-caa6-4752-8a2c-c19d13b6cb2c,curve-dex,Curve,Ethereum,MUSD-3CRV,656898,0.02002,0.02,2e-05,False
d78803f4-437f-4ce5-b199-1bae142a185d,curve-dex,Curve,Ethereum,DOLA-USR,655645,0.03,0.03,0,True
7ecf7729-6c12-423f-837c-0f688746b787,pendle,Pendle,Ethereum,ASDCRV,654317,17.3925,17.3925,,False
02d4887f-4415-43b3-8ec2-70020474af91,pendle,Pendle,Ethereum,ASDCRV,654317,23.60619,19.47963,4.12656,False
23a68630-c706-4ed3-bb31-92868a15050b,curve-dex,Curve,Ethereum,USD0-USDC,653581,0,0,0,True
8763e218-0eb0-4e4f-926f-568ba0c827e1,aave-v3,Aave V3,Base,TBTC,643129,0.10342,0.10342,,False
143baf6f-154d-415c-8bb3-96e2a5aaf34f,euler-v2,Euler V2,Ethereum,WETH,639831,0.00409,0.00409,,False
2b667896-bd77-46b3-8ddd-bfbb7eafea73,curve-dex,Curve,Ethereum,PENDLE-SDPENDLE,631328,0.03,0.03,0,True
403802ee-e259-42bb-be6b-2a75a8baf0fa,curve-dex,Curve,Ethereum,FRXUSD-USDF,629968,0.05017,0.02,0.03017,True
c69a5fa3-0948-428e-9a01-34057a08fde4,curve-dex,Curve,Ethereum,REUSD-SDOLA,619560,6.36585,1.3,5.06585,True
3a61846f-306a-47fd-b4a9-3a7cb82e8004,curve-dex,Curve,Ethereum,USDA-SUSDA,605779,0,0,0,True
071c3281-02a9-480a-b1c2-33f7f3d7d542,curve-dex,Curve,Ethereum,SCRVUSD-USDAF,598455,7.20962,2.09,5.11962,True
190580f0-8121-4744-945b-6a5c04e09795,kamino-lend,Kamino Lend,Solana,EURC,595032,4.54355,4.54355,,True
be04b294-d73a-4a71-b533-f667f7471500,curve-dex,Curve,Ethereum,COIL-FRAXBP,591581,0.73542,0,0.73542,False
